,City Name,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind,Country,Date
318,pisco,-13.7,-76.22,63.0,82.0,0.0,6.93,PE,1595554640.0
319,nueva gerona,21.88,-82.8,83.8,73.0,100.0,15.46,CU,1595554873.0
320,turukhansk,65.82,87.98,55.67,71.0,100.0,7.65,RU,1595554873.0
321,laguna,38.42,-121.42,88.0,31.0,1.0,11.41,US,1595554873.0
322,boone,39.03,-92.33,84.99,70.0,1.0,5.82,US,1595554874.0
324,sitka,57.05,-135.33,59.0,77.0,40.0,10.29,US,1595554844.0
325,guerrero negro,27.98,-114.06,67.35,77.0,0.0,17.6,MX,1595554874.0
327,manjacaze,-24.71,33.88,57.04,92.0,3.0,3.4,MZ,1595554874.0
328,turinskaya sloboda,57.62,64.39,57.15,71.0,0.0,8.63,RU,1595554874.0
329,whitehorse,60.72,-135.05,59.0,62.0,75.0,5.82,CA,1595554874.0
330,sarakhs,36.54,61.16,78.8,44.0,0.0,4.7,IR,1595554875.0
331,vao,-22.67,167.48,69.8,81.0,4.0,18.77,NC,1595554875.0
332,richards bay,-28.78,32.04,58.12,77.0,1.0,4.97,ZA,1595554875.0
333,imeni poliny osipenko,52.42,136.49,71.56,58.0,0.0,5.19,RU,1595554875.0
334,codrington,-38.27,141.97,52.25,70.0,100.0,12.95,AU,1595554875.0
335,bubaque,11.28,-15.83,79.9,84.0,100.0,14.29,GW,1595554875.0
336,pangody,65.85,74.49,53.69,63.0,0.0,14.43,RU,1595554875.0
337,bonga,7.28,36.23,56.53,89.0,97.0,1.88,ET,1595554875.0
338,lompoc,34.64,-120.46,64.99,72.0,4.0,12.75,US,1595554876.0
339,luena,-11.78,19.92,47.84,56.0,0.0,4.41,AO,1595554876.0
340,oruro,-17.98,-67.15,42.15,50.0,67.0,3.02,BO,1595554876.0
341,ottawa,45.41,-75.7,70.0,77.0,20.0,6.93,CA,1595554876.0
342,filadelfia,39.95,-75.16,87.8,66.0,75.0,6.93,US,1595554843.0
343,kruisfontein,-34.0,24.73,61.81,28.0,0.0,9.37,ZA,1595554876.0
344,sabang,5.89,95.32,81.41,74.0,100.0,3.94,ID,1595554876.0
345,talnakh,69.49,88.4,48.2,81.0,23.0,26.84,RU,1595554876.0
346,vazante,-17.99,-46.91,61.97,49.0,0.0,3.11,BR,1595554877.0
347,kattivakkam,13.22,80.32,82.4,78.0,40.0,4.7,IN,1595554877.0
